"bird","persist","to_90","to_360","latency","score","alert","wing","tail","tarsus","sex","weight","condition"
"Aurora",308,1,0,1530,2,0.126705653021442,294,183,152,"Male",780,"Excellent"
"Robin",360,1,1,95,1,0.042603550295858,279,171,141,"Female",730,"Excellent"
"Nutmeg",360,1,1,161,1,0.219284603421462,292,174,139,"Female",735,"Good"
"Briar",133,1,0,1547,1,0.110486891385768,282,182,151,"Male",825,"Excellent"
"Koda",360,1,1,663,3,0.0539629005059022,256,195,149,"Male",750,"Excellent"
"Iona",360,1,1,4635,1,0.309677419354839,300,181,157,"Male",685,"Excellent"
"Sage",195,1,0,1738,2,0.120060790273556,251,142,144,"Female",675,"Good"
"Prem",61,0,0,6906.5,1,0.193037974683544,259,174,131,"Female",600,"Excellent"
"Rove",63,0,0,5477.5,1,0.271820448877805,261,182,128,"Female",640,"Good"
"Valentine",360,1,1,1537,1,0.101246105919003,281,170,138,"Male",635,"Good"
"Marmalade",360,1,1,1572,3,0.164788732394366,285,162,145,"Male",735,"Excellent"
"Clover",103,1,0,1637.5,1,0.265151515151515,292,184,139,"Female",710,"Excellent"
"Wobbles",8,0,0,673,2,0.0523049645390071,290,190,140,"Female",705,"Excellent"
"Brook",138,1,0,1583,1,0.0920245398773006,294,145,131,"Female",615,"Good"
